global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
820.5388028363785	n/a	673283.9269601572	n/a	982.6879164070918	n/a	n/a	965675.5410525115	758.4612699432162	n/a	n/a	575263.4980038762	771.5527912816357	685.120896726666	n/a	n/a	n/a	n/a	0.1304260011	-0.0076500099	0.0482584777	-0.0249585336	0.077283945	0.0821124468	-0.1918601768	0.0633400116	-0.0176793062	0.0875379688	-0.0502920441	0.1764158407	0.0248224124	-0.0827714191	0.0240788877	-0.0889359457	0.0736989033	-0.0542144471	0.0938849074	-0.0425893849	0.0680115165	-0.0399840242	0.0439381759	-0.1154506154	0.0989862907	-0.0176909322	0.0942375271	-0.0537222407	0.1836985767	-0.0377575842	0.1581380262	-0.052228374	0.0432944018	-0.1554677972	0.0319169855	-0.0955853684	0.075374575	-0.0828413942	0.0853469098	-0.028342178	0.0181165761	-0.041252498	-0.0208626605	0.1236192469	-0.0106886708	0.0912700735	-0.0558481628	0.0530374762	-0.0170409318	0.0397763572	-0.0832349887	0.0789109841	-0.0302656856	0.214211212	-0.2324882897	0.0091155494	-0.2244078952	0.0707960117	-0.0336332726	0.0289555104	-0.1188953562	0.1072903482	-0.0140956443	-0.0308320569	0.0067792967	-0.0032019724	0.075339148	-0.070334918	0.0899544498	-0.023628672	0.0568856845	-0.0744551485	0.0586218941	-0.0308655081	0.0505455432	0.0845679124	-0.1010347928	0.121100198	-0.1182346821	0.058702606	-0.1253369281	0.0316915477	-0.1011391972	0.1290883846	0.1290552057	0.1289999139	7.623421821278953e-05	n/a	5.81165602651521e-09	n/a	0.0512323468305737	n/a	n/a	0.0026247533617681	-0.0572994835938942	n/a	n/a	0.0032832308201269	-0.0003726832011543	n/a	1.3889276842261645e-07	n/a	0.0005558765796089	n/a	n/a	3.0899877175768973e-07	0.0006601039708985	n/a	4.357372523959678e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
819.2632350622932	-1.2755677740852889	671192.2483247344	1.6270731462848986	963.348888213059	-19.339028194032835	373.9980114895969	928041.0804213368	758.3268471450067	-0.1344227982094707	0.0180694886784641	575059.6071008863	769.5743062300046	679.5835996685606	1.179246	20.403225	0.0655579937908268	0.0320522293290422	0.0783394782	0.1266955174	-0.1569483761	-0.0194210545	0.0977636765	-0.1274944581	-0.066274253	0.1036616933	0.1354201763	-0.0429274997	0.0890595438	-0.0234106102	0.028485798	0.1070361437	-0.0498104685	-0.0831211309	-0.0024706482	-0.0535366456	-0.0685272429	-0.0942032151	0.0618596948	-0.0188396548	-0.0528502409	-0.0283905495	0.0270407133	0.0475838723	0.0591435572	-0.1207395787	0.0110987895	-0.0373639333	0.0922614968	-0.083307693	-0.0960552431	-0.092235943	0.0978546245	-0.0577459884	-0.0226644331	0.1610196706	-0.1238669347	0.0023647761	0.0504021678	-0.0900406781	0.0179075531	0.0289586498	-0.0575726382	-0.0355331161	-0.1289994206	0.0702093198	0.038042209	-0.0690578972	-0.051421979	-0.0789326626	-0.056281458	0.1140887291	-0.1041410759	0.0365770598	-0.066002563	-0.0389789009	-0.0019864379	0.0186410868	-0.0911830031	-0.0516270248	-0.0964345297	0.0386732155	-0.0641834065	-0.1132800318	-0.0564673063	-0.0281953584	0.1048279691	0.0546209892	0.0302605614	-0.0138875019	0.018849058	-0.0830253166	0.0464246638	0.0803534493	-0.1233126838	-0.01066839	0.0059375756	0.1100633051	-0.0669311521	0.0019864001	-0.1134671305	0.1289999139	0.1287014744	0.1282045865	-0.0052413271669564	-0.0053175613851691	2.74715104710752e-05	2.8276459085042468e-05	0.0326493500734841	-0.0185829967570895	0.000345327768474	0.0010659800602209	-0.0404003884118111	0.0168990951820831	0.0002855794179731	0.0016321913838252	-0.0002621136883488	0.0001105695128054	6.870358561981185e-08	1.2225617162045622e-08	0.000636953287729	8.107670812010001e-05	6.5734325995918915e-09	4.057094907487823e-07	0.0003565833824944	-0.0003035205884041	1.2715170867114756e-07	9.212474758517113e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
818.6282520556033	-0.6349830066899358	670152.2150636123	0.403203418784991	965.74907279179	2.4001845787310003	5.760886011978109	932671.2715982022	758.6279441232009	0.3010969781942094	0.0906593902776842	575516.3576045944	770.4195137791049	682.8137219823972	1.176315	20.352509	0.0531349416032625	0.0325613382786297	0.1236468634	-0.0802417456	0.0067074738	-0.0356044024	0.0057682548	0.14443139	0.080559147	0.0690330384	0.1097464281	0.071508766	0.0249251876	0.0047411236	0.0502787418	-0.0629350286	0.1483588865	0.0623999836	0.0193373851	-0.0529452719	-0.1640690353	0.0880711529	0.0458153338	-0.1146697211	-0.0952604882	0.0729933607	-0.0285472614	-0.0394840201	0.1151736352	-0.083368567	0.0983353274	0.0203968274	-0.1592637136	-0.0567159832	0.0138238776	0.0975766341	-0.1165479705	0.1575129508	-0.0925662623	0.0024520983	0.1138450356	0.1197946608	0.0072557239	0.0049254976	0.0641037774	0.071072093	0.0502112577	-0.0998995772	-0.0406799995	0.0241801639	0.0204578771	-0.075002787	-0.0313789658	-0.1702124737	-0.064337816	-0.1105516839	-0.0295467286	0.0426290364	0.003697828	-0.0601948025	0.0654049434	0.0303745817	-0.0781879252	-0.0062173943	-0.0883968436	-0.0002761868	0.0643089803	0.0575060875	-0.0681844241	-0.0876209257	-0.0377526624	-0.0237579736	0.0185248302	0.0030118339	0.0489377501	-0.1305328669	0.0892749866	-0.0295357225	0.0032012508	0.009807099	0.0474931122	0.1538107371	-0.0300729555	0.0605210388	0.0121934944	0.1288230331	0.1279949812	0.1266188352	4.974052606598889e-05	0.0052910676930223	2.47411993332132e-09	2.7995397332145262e-05	0.0582617817347141	0.02561243166123	0.0006559966556011	0.0033944352109034	-0.0374971583729859	0.0029032300388251	8.428744658336971e-06	0.0014060368860487	-0.0005301464686679	-0.000268032780319	2.8105527824104464e-07	7.18415713255869e-08	0.0006848868895934	4.793360186440001e-05	2.297630187694812e-09	4.690700515369222e-07	0.0004271812445146	7.05978620202e-05	1.824838156650425e-07	4.984058121823198e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
816.6423691994504	-1.985882856152898	666904.7591716915	3.943730718361992	963.6065454943426	-2.142527297447373	4.590423220307143	928537.5745195406	758.8111009188872	0.1831567956862727	0.033546411806063	575794.2868777335	770.7391982976436	671.8176826785309	1.097966	18.996923	0.064093290532534	0.0293781585143853	0.0468483395	0.1191478621	0.0109828715	-0.0003352265	0.0280907593	0.0187368048	-0.09642518	-0.070771504	-0.0354304636	0.0362944572	0.0511946666	-0.0345930062	0.0280624099	0.0311592029	-0.0823922413	-0.0224444046	0.0938893297	-0.0017426922	0.079471618	0.0347714046	0.0509592193	-0.0028644405	-0.0054881313	-0.0506158556	-0.0859049135	0.0215783495	-0.0310832134	0.0449488488	0.0461207306	-0.0235826796	-0.0292300421	-0.050953227	0.0714459621	0.0329408036	0.0158724931	0.0878805839	-0.1124127551	-0.101526812	-0.0315945817	-0.0947203876	0.0453715198	-0.0205030083	-0.0665194678	0.0537432571	0.0857157126	0.0321500985	0.0950945609	0.0359259713	-0.0201617348	0.076490299	0.0109634116	-0.0822834549	0.0513359179	0.0165595591	0.0100570058	0.0164788941	-0.0050670708	-0.0362497412	-0.0275162961	0.0149132788	-0.0779427021	0.0523986901	0.0227864076	-0.039944453	-0.1144327539	0.0317007397	0.0100094487	-0.0982959205	0.0546794955	0.0615320085	0.0627202679	0.02744458	0.0463632723	-0.0434894217	0.0173382216	0.0106269857	0.0651330729	0.027765009	0.0686933202	0.0803061992	-0.0187163423	0.1072848649	0.0105780475	0.1285578634	0.1269376627	0.1242524367	9.869273564788728e-05	4.895220958189839e-05	9.74025606966376e-09	2.396318822950104e-09	0.0513084331684439	-0.0069533485662702	4.834905628405188e-05	0.0026325553142006	-0.016947785606149	0.0205493727668369	0.0004222767211104	0.0002872274369519	-0.0002716894564943	0.0002584570121735	7.381516077016816e-08	6.680002714170438e-08	0.0005169005394145	-0.0001679863501789	2.8219413846428032e-08	2.6718616764700105e-07	0.000731570221959	0.0003043889774444	5.351949896571405e-07	9.265264958964745e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
815.8801809727805	-0.7621882266698776	665660.4697041771	0.5809308928741728	959.181329450936	-4.425216043406635	19.58253703082348	920028.822767265	758.5227113251534	-0.2883895937337684	0.0831685577739279	575356.703596062	770.3930863235724	668.2222829722394	1.160578	20.080231	0.088583281799631	0.0482416383865044	0.0094818526	-0.1170501922	0.003054135	-0.0315108238	-0.036339419	-0.0430021011	0.0781957469	0.0899244488	-0.0973145431	0.1187505516	-0.0380117123	-0.053705622	-0.0061110685	0.0139069893	0.0507453811	0.1596861813	-0.0142604899	-0.1226215072	0.0560517224	0.0446933364	-0.0387957599	-0.0492464617	-0.0023183978	-0.0329118377	-0.0320646346	-0.0652590063	0.0705249554	0.1094560033	-0.0250493067	-0.0363988486	0.0380162145	0.1110248515	-0.0752663415	0.0333914237	-0.1247597219	-0.1009727181	0.1192338842	0.0573805382	0.0176759753	0.0848743128	-0.0144989705	0.1010775684	-0.0597891059	0.0847259555	-0.0991839255	-0.0205170526	0.1584133499	0.0093867487	-0.0066412925	0.0240935714	-0.0055773038	-0.0383504323	0.0396085584	-0.0235399469	-0.096674809	0.0887072454	0.0869640662	0.0439461596	0.0274903617	0.0259041364	-0.0407663205	0.0474779127	0.0289523549	-0.0730164612	0.0957483896	-0.0907045754	0.0215801719	0.0120412679	-0.007414991	0.0024878489	0.0790288698	-0.0149306358	0.056215727	-0.0204991512	0.0064979238	-0.1342950323	-0.0063083944	0.0324849082	0.1069346434	0.0301969918	-0.0320772319	-0.0267239272	-0.0748635794	0.1282045865	0.1255324169	0.1211199807	-0.0057692843747361	-0.0058679771103839	3.328464219657411e-05	3.443315536799041e-05	0.0183827148684514	-0.0329257182999924	0.0010841029255704	0.0003379242059347	0.0051970900028806	0.0221448756090296	0.0004903955157393	2.7009744498041475e-05	-0.0004045878497626	-0.0001328983932682	1.6369132817552418e-07	1.7661982933295723e-08	0.0005329339226622	1.60333832477e-05	2.5706937836762705e-10	2.8401856592411973e-07	0.0003276077828705	-0.0004039624390885	1.0732685939732466e-07	1.6318565219433008e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
815.8486457131743	-0.0315352596062439	665609.0127120205	0.0009944725984331	960.8602644295528	1.6789349786167804	2.818822662422929	923252.4477596302	758.3177315486417	-0.2049797765116636	0.0420167087787715	575045.7819810779	769.9829414409519	652.7775127834744	1.120486	19.386562	0.0517017657600231	0.0299958234403996	-0.0522676923	0.061143361	0.1364505526	-0.0174032152	-0.0902552403	0.0391217884	-0.015252023	-0.1047846842	0.0468708147	-0.0815336886	0.0875286176	-0.1215040845	0.0222492926	-0.0367778813	0.0209481464	-0.1305092311	-0.0021135821	-0.0351734923	-0.0418129085	-0.0124605042	-0.1324488609	-0.0719691204	-0.0642816471	-0.0843054437	-0.1046339694	-0.0455724213	0.0990775711	0.1394812348	0.0104398114	0.0698384461	0.1297776403	-0.0082675015	-0.030486457	0.0552084762	-0.0362291118	0.0427273997	0.0006630791	0.0219808503	0.044678306	-0.0826830692	0.0368223471	-0.1285745098	0.0402328848	-0.0095370541	-0.0572209238	-0.1099433675	0.1487168835	0.0211872124	0.0542656123	0.0051054945	-0.0311297962	-0.0105317324	-0.0239115829	-0.0634384054	-0.0912381768	0.0035787294	0.0976355468	-0.0030844399	-0.0135552184	0.0132955213	-0.0099285144	-0.0635007689	-0.0403823566	0.0404462301	0.0247591984	0.0251137416	0.0974497852	-0.0824386255	0.0326180926	0.0890851955	0.0580166436	-0.0192580395	0.0195739854	0.0343756265	0.0365605022	-0.0288607197	-0.0673067656	0.0183419984	0.0306790299	-0.07350354	-0.1056224768	-0.0839532273	-0.0490699779	0.1277634447	0.1237830955	0.1172407796	2.3981105201187347e-05	0.0057932654799372	5.750934066704147e-10	3.356192492103301e-05	0.0293097472580683	0.0109270323896169	0.0001194000368437	0.0008590612843318	0.0055700775958769	0.0003729875929962	1.3911974452917326e-07	3.1025764424089785e-05	-0.0002459998950303	0.0001585879547323	6.05159483549186e-08	2.5150139386174042e-08	-4.0207845053430447e-08	-0.0005329741305072	2.840614237899628e-07	1.6166708038406712e-15	0.0003270002621606	-6.07520709899965e-07	1.0692917145310115e-07	3.690814129573575e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
817.1622293361614	1.313583622987153	667754.1090536453	1.7255019345800546	962.9195920746902	2.0593276451373868	4.240830350027094	927214.1408012876	759.0411979706951	0.7234664220533205	0.5234036638386332	576143.540216788	770.9930451862119	669.1533193954314	1.295315	22.411448	0.0640257349823607	0.0335562989756113	-0.0486983706	-0.0743885135	-0.1357062458	0.002073132	-0.0601534023	-0.0493557629	0.066539866	0.0492257865	0.1502929288	-0.015891295	0.00428786	-0.0474336626	0.0493648382	0.12245679	-0.0153198138	0.0368025966	0.051461683	-0.0048300492	-0.1215985272	0.0559178434	-0.024731949	-0.0492442713	-0.0238249251	-0.0111528841	0.0560421946	-0.1096998077	-0.0338184208	-0.0653507712	0.0347635915	-0.0375893291	0.1039418599	0.0837226026	0.0794885516	0.0307532665	0.1314811463	0.0510179267	-0.075851786	-0.0168001684	-0.1013056374	0.0790991544	0.049679184	0.017779406	0.026087013	0.0223755763	0.0786251267	-0.1114183061	-0.0095592773	0.059131458	0.0331859507	-0.0384117758	-0.0516912098	0.1005835656	-0.0131678306	-0.0229655526	-0.0281871126	-0.0740708748	0.0825805182	0.0566255525	-0.026845526	0.0106136869	-0.0284983716	-0.0592298745	-0.041182288	-0.0206923409	-0.0050485489	-0.0637029396	-0.1453871282	-0.0082266148	-0.0712763784	0.0404416346	0.0568146508	-0.0295214994	0.007745209	-0.0262958439	-0.0314537205	0.0445463638	0.000214741	0.0388173032	0.0140928037	-0.0979811874	-0.0724086244	-0.0024214182	0.0032369451	0.1272347401	0.1216944932	0.1126387502	1.1918081455064566e-05	-1.206302374612278e-05	1.4204066556955394e-10	1.4551654189952207e-10	0.0503410278853948	0.0210312806273265	0.0004423147648253	0.002534219088558	-0.0165607993986185	-0.0221308769944954	0.0004897757165454	0.0002742600767212	-0.0004900282160826	-0.0002440283210523	2.4012765255709534e-07	5.9549821475604434e-08	0.0001729198232822	0.0001729600311272	2.991517236754048e-08	2.990126528394728e-08	0.0003270421967169	4.1934556299963975e-08	1.069565984334155e-07	1.7585070120748485e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
817.13687227449	-0.0253570616714569	667712.6680305362	0.00064298057661	967.5885277057516	4.6689356310614585	21.79895992699526	936227.558947784	759.6291809504128	0.5879829797177081	0.3457239844377147	577036.492551395	772.0454181482849	669.0787964252511	1.204965	20.848209	0.065309679805209	0.0335452207072285	0.0338719983	-0.038140071	0.0777067337	0.0015493164	-0.015148297	0.1147043132	-0.0557811676	-0.0485793146	-0.0404090985	0.0215006764	-0.0217635651	-0.1001981853	0.0317233573	-0.14981468	-0.0447956477	-0.0472075551	0.01334038	0.053850686	-0.0042349132	0.0836800878	0.0689118797	-0.0045643242	0.0032546417	-0.079096644	0.187695337	-0.0036854106	-0.1307057473	-0.0095418575	-0.0378592015	-0.0225107746	0.0051646389	-0.0361000207	0.1290099293	-0.0811924984	-0.0839098337	-0.0963369968	-0.015741328	-0.1056376657	0.0995833638	-0.0599719835	0.0263249322	0.0456065165	0.0525074056	0.0049904011	0.1143421118	0.0487007403	-0.0962901339	-0.0039317973	0.0113045654	0.0283340549	-0.0910367302	0.125411159	-0.0383170457	0.1546345489	0.0028545977	-0.0288484981	-0.125485105	0.004144906	-0.0553431279	0.0123242456	-0.0266040674	0.0245539177	0.0021270102	-0.0113864658	-0.0017739865	0.0845704213	0.0400854544	-0.0664322519	-0.0925507668	-0.0282870601	0.0342232373	-0.0627945347	0.0150839143	0.0104242319	-0.028526483	0.0716316439	0.024208492	0.0975977268	-0.0182030433	-0.0112755409	-0.1002254907	0.0137516448	-0.050094042	0.1266188352	0.1192723348	0.1073422654	-0.0092327361421808	-0.0092446542236358	8.524341667113161e-05	8.546363171458843e-05	0.0249294374002175	-0.0254115904851773	0.0006457489309863	0.0006214768490913	-0.0115327838291676	0.0050280155694509	2.5280940566640657e-05	0.0001330051028503	-0.0002420713822519	0.0002479568338307	5.859855410534549e-08	6.148259144334539e-08	0.0004369606963054	0.0002640408730232	6.971758262685365e-08	1.9093465011570005e-07	0.0003275528804019	5.106836850000051e-07	1.0729088945958141e-07	2.607978261251845e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
816.8419763703405	-0.2948959041494845	667230.8143606039	0.0869635942841419	964.1620885388604	-3.426439166891214	11.740485364406156	929608.5329756172	759.4441869374298	-0.1849940129829974	0.0342227848395534	576755.4730730538	771.5493030025057	666.6801934136284	1.083463	18.745991	0.0338853631497122	0.0204156331345823	-0.0443481936	-0.013447515	-0.1186156774	0.0024575501	0.0657374261	-0.1558090139	-0.0457412175	-0.0047042807	-0.0533986646	0.039452864	-0.0955906618	0.0139683133	0.0228005459	0.0946046817	-0.1202887448	0.0509142401	0.0163376773	-0.0065625368	0.0984722217	0.0697115414	-0.0185597565	-0.0309829383	0.0109378069	-0.0207077534	0.0888064084	0.0669941444	0.0011369131	-0.0313759014	-0.0172057097	0.0866834882	-0.0612723386	-0.2450617772	-0.1330683151	-0.0361467274	0.0005010258	-0.0409161782	-0.0206540206	0.0326425591	-0.1453969988	-0.0267695285	0.0402652607	0.0767515234	-0.063727189	0.0200377126	0.0195136546	0.0919327032	0.0254248864	-0.0140549855	0.0146756142	0.0010613877	-0.1530535675	0.0053364645	-0.0525734481	-0.0184107382	0.0889244463	-0.043334609	-0.1021573257	-0.0180586778	-0.0001893668	0.0006378078	-0.0250710283	0.0184782488	0.0614810588	-0.0758157034	-0.0885746715	-0.0789579771	-0.086435681	0.0132201377	-0.017883275	0.0088162985	0.0513251236	-0.0427944127	-0.0102298104	0.0264492752	-0.0637643047	0.0722792262	-0.0186562766	0.0177701006	-0.0556499599	-0.0263080743	-0.0964272444	-0.049101741	-0.0828375022	0.1259161521	0.1165232592	0.1013839798	-0.0073472104483585	0.0018855256938222	5.398150137246831e-05	3.555207142064065e-06	0.0095973692005344	-0.0153320681996831	0.0002350723152797	9.21094955713663e-05	-0.0114897328979708	4.30509311968013e-05	1.8533826769117193e-09	0.0001320139620667	-0.0003080279437295	-6.595656147759997e-05	9.488121411822401e-08	4.350268001948425e-09	0.0001709491492558	-0.0002660115470496	7.076214316372154e-08	2.9223611631281793e-08	0.0003270266224289	-5.262579729999918e-07	1.0694641177725433e-07	2.769474541460601e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
817.6206197484378	0.7786433780972857	668503.4778378195	0.6062855102547525	966.362079699286	2.1999911604256117	4.839961105950827	933855.6690807292	758.9999885189748	-0.4441984184550165	0.1973122349579379	576080.9825718038	770.7682265259012	662.2841828471483	1.20326	20.818714	0.0730105781130211	0.030922329847289	0.0127090627	-0.094556329	0.0838106532	0.0083394544	0.0837408229	0.069605982	0.0339617811	0.0287101663	-0.0781661637	-0.0392448491	-0.0150087212	-0.0186934793	-0.0021501659	-0.1264746707	0.093650636	-0.0220523136	-0.0018378512	-0.066460047	-0.0171320716	-0.0825599437	0.0180800434	-0.021287879	0.0433152244	0.0811034752	0.1158975492	0.0415055124	-0.0020494271	-0.2287971997	-0.0285208824	-0.1461415827	-0.0172789237	-0.0301225536	0.042097949	0.0208637805	0.1003346225	-0.0479315674	0.1216826058	-0.119198248	0.1407472125	0.0510961378	-0.0242856518	-0.007877004	-0.0277697911	0.0192219595	-0.0941455823	0.0349537099	-0.1535295715	-0.0222047509	-0.0036479271	-0.0796733551	-0.0233813905	0.0097884133	-0.0365239383	0.015726238	0.0478632126	-0.1774531065	-0.0909939121	0.1084539568	0.1090445027	0.0081163006	-0.0083267521	0.0074298545	-0.0103959543	-0.0066940137	0.1237206228	-0.0204118256	0.0899214952	0.0139028273	-0.0123628498	-0.024642406	-0.0225343266	-0.0217616161	0.0684695616	-0.0471585168	-0.0184810648	0.0235276105	-0.0908854123	-0.0872790415	-0.0786718666	0.0668904273	-0.0105530066	-0.0068457199	-0.0402559693	0.1251271724	0.1134548014	0.0948006283	0.0001422270564432	0.0074894375048017	2.02285355844972e-08	5.609167413833032e-05	-0.0003056598190624	-0.0099030290195967	9.806998376297634e-05	9.34279249892591e-08	0.0075251428244627	0.0190148757224335	0.0003615654987395	5.662777452856246e-05	-0.0001919981213355	0.0001160298223939	3.686327859636138e-08	1.3462919684783181e-08	0.0004500006589529	0.000279051509697	7.786974506423066e-08	2.025005930580442e-07	-9.95676280378342e-06	-0.0003369833852326	9.913712553080505e-11	1.1355780192287913e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
